,time(sec),r,wtot
0,0.0,5.5,3.7026285188823883e-13
1,3.645030398842916,5.499999757905299,3.702633079352355e-13
2,7.290060797685832,5.499998891626192,3.7026385735858255e-13
3,10.935091196528747,5.49999719599563,3.702645039341321e-13
4,14.580121595371663,5.499994467391514,3.7026524794767683e-13
5,18.225151994214578,5.49999051954321,3.702660860216154e-13
6,21.870182393057494,5.499985213142962,3.702670099335859e-13
7,25.51521279190041,5.499978461454416,3.702680078629029e-13
8,29.160243190743326,5.49997024408854,3.702690647591447e-13
9,32.80527358958624,5.499960618235386,3.702701626649225e-13
10,36.450303988429155,5.499949713549084,3.702712821526122e-13
11,40.09533438727207,5.499937725005851,3.702724034115341e-13
12,43.74036478611498,5.499924903709373,3.702735069668503e-13
13,47.38539518495789,5.4999115436209305,3.7027457428005864e-13
14,51.030425583800806,5.499897946858601,3.7027559000717923e-13
15,54.67545598264372,5.499884416548277,3.702765413686299e-13
16,58.32048638148663,5.4998712364220905,3.702774187022292e-13
17,61.965516780329544,5.499858656515921,3.7027821550245337e-13
18,65.61054717917246,5.4998468778769505,3.702789287444417e-13
19,69.25557757801538,5.499836048476632,3.702795584067326e-13
20,72.9006079768583,5.499826264233284,3.7028010681532067e-13
21,76.54563837570122,5.499817569526411,3.7028057834573236e-13
22,80.19066877454414,5.499809964087461,3.702809787837279e-13
23,83.83569917338706,5.4998034088673835,3.7028131500081783e-13
24,87.48072957222998,5.499797837516283,3.7028159423425233e-13
25,91.1257599710729,5.499793165831132,3.7028182364157693e-13
26,94.77079036991582,5.499789295443542,3.7028201042586816e-13
27,98.41582076875873,5.499786125442809,3.702821611718396e-13
28,102.06085116760165,5.4997835563802315,3.702822818544995e-13
29,105.70588156644457,5.499781493594254,3.702823778376025e-13
30,109.3509119652875,5.499779851483602,3.7028245370123875e-13
31,112.99594236413041,5.499778553981211,3.7028251335878326e-13
32,116.64097276297333,5.499777535448625,3.70282560068502e-13
33,120.28600316181625,5.4997767400099065,3.7028259654275476e-13
34,123.93103356065917,5.499776121420872,3.7028262496710434e-13
35,127.5760639595021,5.499775641869811,3.702826470958957e-13
36,131.221094358345,5.49977527081909,3.7028266432787047e-13
37,134.86612475718792,5.499774983942604,3.70282677764836e-13
38,138.51115515603084,5.499774762048561,3.70282688269691e-13
39,142.15618555487376,5.499774590179723,3.702826965092593e-13
40,145.80121595371668,5.499774456690484,3.702827030033883e-13
41,149.4462463525596,5.499774352637839,3.702827081490936e-13
42,153.09127675140252,5.499774271135192,3.702827122536292e-13
43,156.73630715024544,5.499774206927452,3.702827155515048e-13
44,160.38133754908836,5.499774156013025,3.7028271822160816e-13
45,164.02636794793128,5.499774115333258,3.702827204018371e-13
46,167.6713983467742,5.49977408256277,3.70282722197349e-13
47,171.31642874561712,5.499774055928033,3.7028272368879046e-13
48,174.96145914446004,5.4997740340761725,3.7028272493783844e-13
49,178.60648954330296,5.499774015971202,3.70282725991782e-13
50,182.25151994214588,5.499774000824351,3.702827268861296e-13
51,185.8965503409888,5.499773988026831,3.702827276479903e-13
52,189.54158073983172,5.499773977108843,3.702827282977242e-13
53,193.18661113867464,5.499773967709411,3.7028272885020806e-13
54,196.83164153751756,5.499773959558452,3.702827293155301e-13
